,id_ficha,fecha_entrada,tipo,titulo,estado
143,131836,2016-09-27,PROYECTO DE RESOLUCION  ,"RODO, José Enrique. 100 AÑOS FALLECIMIENTO. HOMENAJES. COMISION ESPECIAL. CREACION.",EN_TRAMITE
144,131029,2016-08-03,LEY,PRODUCCION BASES AGROECOLOGICAS. INTERES GENERAL. DECLARACION. COMISION HONORARIA NACIONAL. CREACION.,PROMULGA
145,130766,2016-07-13,PROYECTO DE LEY,CODIGO CIVIL. MATRIMONIO. EDAD MÍNIMA. MODIFICACION.,EN_TRAMITE
146,130280,2016-06-15,PROYECTO DE LEY,"VILLALBA, Olegario. ESCUELA RURAL N° 97 VILLA SERRANA (LAVALLEJA). DENOMINACIÓN.",EN_TRAMITE
147,130145,2016-06-08,LEY,PARTIDOS POLITICOS. CARGOS. PARTICIPACION PARITARIA AMBOS SEXOS. PROMOCION.,PROMULGA
148,128594,2016-03-08,DECLARACION,"CÁCERES, Berta. ORGANIZACIONES POPULARES E INDÍGENAS HONDURAS. PRESIDENTA. ASESINATO. JUSTICIA. RECLAMO. DECLARACIÓN.",APRUEBA
149,128446,2016-03-02,LEY,MOSQUITO AEDES AEGYPTI. FUMIGACION PREDIOS BALDÍOS Y FINCAS ABANDONADAS. INGRESO. AUTORIZACIÓN.,PROMULGA
150,128332,2016-02-16,RESOLUCION,EX LEGISLADORES ZELMAR MICHELINI Y HECTOR GUTIERREZ RUIZ. DISCURSOS PARLAMENTARIOS. RECOPILACION Y EDICION,APRUEBA
151,143084,2019-04-02,PROYECTO DE MINUTA DE COMUNICACION,BUSTO PROCER JOSE ARTIGAS. UNIVERSIDAD ESTATAL SAN PETERSBURGO. DONACION.,EN_TRAMITE
152,142063,2018-12-05,PROYECTO DE LEY,LICENCIADO EN NUTRICIÓN. PROFESIÓN UNIVERSITARIA. REGULACIÓN MARCO JURÍDICO.,EN_TRAMITE
153,131836,2016-09-27,PROYECTO DE RESOLUCION  ,"RODO, José Enrique. 100 AÑOS FALLECIMIENTO. HOMENAJES. COMISION ESPECIAL. CREACION.",EN_TRAMITE
154,130280,2016-06-15,PROYECTO DE LEY,"VILLALBA, Olegario. ESCUELA RURAL N° 97 VILLA SERRANA (LAVALLEJA). DENOMINACIÓN.",EN_TRAMITE
155,134288,2017-04-04,RESOLUCION,CAMARA SENADORES. REGLAMENTO. MODIFICACION.,APRUEBA
156,143084,2019-04-02,PROYECTO DE MINUTA DE COMUNICACION,BUSTO PROCER JOSE ARTIGAS. UNIVERSIDAD ESTATAL SAN PETERSBURGO. DONACION.,EN_TRAMITE
157,141848,2018-11-14,PROYECTO DE LEY,"TERRA, Gabriel. REPRESA. DENOMINACIÓN. MODIFICACIÓN.",EN_TRAMITE
158,141494,2018-10-09,PROYECTO DE LEY,EJERCICIO FUNCIÓN PÚBLICA. BUENAS PRÁCTICAS. ADECUACIÓN. INTERÉS GENERAL. DECLARACIÓN.,APRUEBA
159,135668,2017-07-12,PROYECTO DE LEY,LEY PARTIDOS POLÍTICOS. MODIFICACIÓN.,APRUEBA
160,135165,2017-06-07,LEY,"GUERRA MATTOS, EVARISTO. RUTA 81. TRAMO ENTRE RUTA 7 Y RUTA 80 (CANELONES). DENOMINACION.",PROMULGA
161,132929,2016-11-30,LEY,RESPONSABILIDAD DECENAL. CODIGO CIVIL. MODIFICACION.,PROMULGA
162,132804,2016-11-22,PROYECTO DE LEY,ENTES AUTÓNOMOS. SERVICIOS DESCENTRALIZADOS. GIRO. MODIFICACIÓN.,EN_TRAMITE
163,131836,2016-09-27,PROYECTO DE RESOLUCION  ,"RODO, José Enrique. 100 AÑOS FALLECIMIENTO. HOMENAJES. COMISION ESPECIAL. CREACION.",EN_TRAMITE
164,130145,2016-06-08,LEY,PARTIDOS POLITICOS. CARGOS. PARTICIPACION PARITARIA AMBOS SEXOS. PROMOCION.,PROMULGA
