asistencias,citaciones,faltas_con_aviso,faltas_sin_aviso,fecha,id_comision,id_senador,licencia,otras_comisiones
1,1,0,0,2017-10-02 00:00:00,927,9891,0,0
1,1,0,0,2017-10-09 00:00:00,927,9891,0,0
1,1,0,0,2017-11-06 00:00:00,927,9891,0,0
0,1,1,0,2017-11-13 00:00:00,927,9891,0,0
1,1,0,0,2017-11-27 00:00:00,927,9891,0,0
1,1,0,0,2017-12-04 00:00:00,927,9891,0,0
0,1,1,0,2017-12-11 00:00:00,927,9891,0,0
1,1,0,0,2017-12-18 00:00:00,927,9891,0,0
1,1,0,0,2018-03-05 00:00:00,927,9891,0,0
0,1,1,0,2018-03-12 00:00:00,927,9891,0,0
1,1,0,0,2018-03-22 00:00:00,927,9891,0,0
0,1,1,0,2018-04-02 00:00:00,927,9891,0,0
1,1,0,0,2018-04-09 00:00:00,927,9891,0,0
1,1,0,0,2018-04-16 00:00:00,927,9891,0,0
1,1,0,0,2018-05-07 00:00:00,927,9891,0,0
1,1,0,0,2018-05-14 00:00:00,927,9891,0,0
0,1,1,0,2018-06-04 00:00:00,927,9891,0,0
1,1,0,0,2018-06-11 00:00:00,927,9891,0,0
0,1,1,0,2018-07-02 00:00:00,927,9891,0,0
0,1,1,0,2018-07-16 00:00:00,927,9891,0,0
1,1,0,0,2018-08-06 00:00:00,927,9891,0,0
1,1,0,0,2018-08-13 00:00:00,927,9891,0,0
0,1,1,0,2018-10-01 00:00:00,927,9891,0,0
1,1,0,0,2018-10-08 00:00:00,927,9891,0,0
1,1,0,0,2018-10-10 00:00:00,927,9891,0,0
1,1,0,0,2018-11-05 00:00:00,927,9891,0,0
1,1,0,0,2018-11-12 00:00:00,927,9891,0,0
1,1,0,0,2018-12-10 00:00:00,927,9891,0,0
0,1,1,0,2019-03-11 00:00:00,927,9891,0,0
1,1,0,0,2019-04-01 00:00:00,927,9891,0,0
0,1,1,0,2019-04-08 00:00:00,927,9891,0,0
1,1,0,0,2015-08-26 00:00:00,1104,9891,0,0
1,1,0,0,2015-09-02 00:00:00,1104,9891,0,0
1,1,0,0,2015-09-09 00:00:00,1104,9891,0,0
1,1,0,0,2015-10-21 00:00:00,1104,9891,0,0
1,1,0,0,2015-10-22 00:00:00,1104,9891,0,0
1,1,0,0,2015-10-26 00:00:00,1104,9891,0,0
1,1,0,0,2015-10-27 00:00:00,1104,9891,0,0
1,1,0,0,2015-10-28 00:00:00,1104,9891,0,0
1,1,0,0,2015-10-29 00:00:00,1104,9891,0,0
1,1,0,0,2015-10-30 00:00:00,1104,9891,0,0
1,1,0,0,2015-11-03 00:00:00,1104,9891,0,0
1,1,0,0,2015-11-04 00:00:00,1104,9891,0,0
1,1,0,0,2015-11-05 00:00:00,1104,9891,0,0
1,1,0,0,2015-11-09 00:00:00,1104,9891,0,0
0,1,1,0,2015-11-12 00:00:00,1104,9891,0,0
0,1,0,0,2015-11-13 00:00:00,1104,9891,0,0
1,1,0,0,2015-11-16 00:00:00,1104,9891,0,0
0,1,1,0,2015-11-17 00:00:00,1104,9891,0,0
0,1,1,0,2015-11-23 00:00:00,1104,9891,0,0
1,1,0,0,2015-11-24 00:00:00,1104,9891,0,0
1,1,0,0,2015-11-25 00:00:00,1104,9891,0,0
0,1,1,0,2016-08-10 00:00:00,1104,9891,0,0
1,1,0,0,2016-08-15 00:00:00,1104,9891,0,0
1,1,0,0,2016-08-16 00:00:00,1104,9891,0,0
1,1,0,0,2016-08-17 00:00:00,1104,9891,0,0
1,1,0,0,2016-08-18 00:00:00,1104,9891,0,0
1,1,0,0,2016-08-19 00:00:00,1104,9891,0,0
0,1,1,0,2016-08-22 00:00:00,1104,9891,0,0
0,1,1,0,2016-08-23 00:00:00,1104,9891,0,0
0,1,1,0,2016-08-26 00:00:00,1104,9891,0,0
0,1,1,0,2016-08-29 00:00:00,1104,9891,0,0
1,1,0,0,2016-08-30 00:00:00,1104,9891,0,0
1,1,0,0,2016-08-31 00:00:00,1104,9891,0,0
1,1,0,0,2016-09-01 00:00:00,1104,9891,0,0
1,1,0,0,2016-09-02 00:00:00,1104,9891,0,0
1,1,0,0,2016-09-05 00:00:00,1104,9891,0,0
1,1,0,0,2016-09-06 00:00:00,1104,9891,0,0
1,1,0,0,2016-09-07 00:00:00,1104,9891,0,0
1,1,0,0,2016-09-08 00:00:00,1104,9891,0,0
0,1,1,0,2017-08-10 00:00:00,1104,9891,0,0
1,1,0,0,2017-08-17 00:00:00,1104,9891,0,0
1,1,0,0,2017-08-18 00:00:00,1104,9891,0,0
0,1,1,0,2017-08-21 00:00:00,1104,9891,0,0
0,1,1,0,2017-08-22 00:00:00,1104,9891,0,0
0,1,0,0,2017-08-23 00:00:00,1104,9891,1,0
1,1,0,0,2017-08-24 00:00:00,1104,9891,0,0
1,1,0,0,2017-08-28 00:00:00,1104,9891,0,0
0,1,1,0,2017-08-29 00:00:00,1104,9891,0,0
1,1,0,0,2017-08-30 00:00:00,1104,9891,0,0
